Model,Dataset,SeqLen,Features,PredLen,Loss,MSE,MAE,RMSE,MAPE,MSPE,Time,Params
DLinear,ETTh1,336,M,96,mse,0.38575396,0.40681857,0.62109095,8.828366,32868.94,2026-01-12-20:06:06,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=1, tau=0.01, alpha=0.75, use_dynamic_gate=0, data='ETTh1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=96, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=32, patience=3, learning_rate=0.005, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTh1,336,M,192,mse,0.44537625,0.45104277,0.66736513,8.680243,31204.955,2026-01-12-20:06:42,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=1, tau=0.01, alpha=0.75, use_dynamic_gate=0, data='ETTh1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=192, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=32, patience=3, learning_rate=0.005, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTh1,336,M,336,mse,0.45210233,0.4519531,0.6723856,7.7961516,25811.254,2026-01-12-20:07:31,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=1, tau=0.01, alpha=0.75, use_dynamic_gate=0, data='ETTh1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=336, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=32, patience=3, learning_rate=0.005, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTh1,336,M,720,mse,0.47249886,0.48863098,0.6873855,8.223039,27446.064,2026-01-12-20:08:28,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=1, tau=0.01, alpha=0.75, use_dynamic_gate=0, data='ETTh1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=720, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=32, patience=3, learning_rate=0.005, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTh2,336,M,96,mse,0.29363713,0.35693935,0.54188293,1.3018396,318.43304,2026-01-12-20:09:20,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=1, tau=0.01, alpha=0.35, use_dynamic_gate=0, data='ETTh2', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh2.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=96, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=32, patience=3, learning_rate=0.05, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTh2,336,M,192,mse,0.377177,0.41825595,0.61414737,1.3575072,290.21982,2026-01-12-20:10:13,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=1, tau=0.01, alpha=0.35, use_dynamic_gate=0, data='ETTh2', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh2.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=192, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=32, patience=3, learning_rate=0.05, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTh2,336,M,336,mse,0.4343263,0.4597364,0.6590344,1.4984334,298.5443,2026-01-12-20:11:09,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=1, tau=0.01, alpha=0.35, use_dynamic_gate=0, data='ETTh2', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh2.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=336, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=32, patience=3, learning_rate=0.05, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTh2,336,M,720,mse,0.7071696,0.59737426,0.84093374,1.5757391,289.76456,2026-01-12-20:12:09,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=1, tau=0.01, alpha=0.35, use_dynamic_gate=0, data='ETTh2', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh2.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=720, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=32, patience=3, learning_rate=0.05, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTm1,336,M,96,mse,0.300869,0.34460202,0.54851526,2.0507185,311.36084,2026-01-12-20:16:03,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=9, tau=10.0, alpha=0.95, use_dynamic_gate=0, data='ETTm1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTm1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=96, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=8, patience=3, learning_rate=0.0001, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
DLinear,ETTm1,336,M,192,mse,0.33539268,0.36605656,0.57913095,2.0876815,325.0597,2026-01-12-20:20:27,"Namespace(is_training=1, train_only=False, model_id='DLinear', model='DLinear', top_m=9, tau=10.0, alpha=0.95, use_dynamic_gate=0, data='ETTm1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTm1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=192, individual=False, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=512, n_heads=8, e_layers=2, d_layers=1, d_ff=2048, moving_avg=25, factor=1, distil=True, dropout=0.05, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=10, batch_size=8, patience=3, learning_rate=0.0001, des='Exp', loss='mse', lradj='type1', use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
