Model,Dataset,SeqLen,Features,PredLen,Loss,MSE,MAE,RMSE,MAPE,MSPE,Time,Params
PatchTST,ETTh1,336,M,96,mse,0.36417156,0.3905965,0.6034663,9.000844,36641.26,2026-01-12-18:55:16,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=6, tau=1.0, alpha=0.9, use_dynamic_gate=0, data='ETTh1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=96, fc_dropout=0.2, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=128, n_heads=4, e_layers=2, d_layers=1, d_ff=512, moving_avg=25, factor=1, distil=True, dropout=0.5, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=10, learning_rate=0.0001, des='Exp', loss='mse', lradj='type3', pct_start=0.3, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTh1,336,M,192,mse,0.40428707,0.4148222,0.6358357,9.287238,35365.51,2026-01-12-18:56:42,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=6, tau=1.0, alpha=0.9, use_dynamic_gate=0, data='ETTh1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=192, fc_dropout=0.2, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=128, n_heads=4, e_layers=2, d_layers=1, d_ff=512, moving_avg=25, factor=1, distil=True, dropout=0.5, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=10, learning_rate=0.0001, des='Exp', loss='mse', lradj='type3', pct_start=0.3, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTh1,336,M,336,mse,0.43425646,0.4402637,0.6589814,9.49673,37350.34,2026-01-12-18:57:44,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=6, tau=1.0, alpha=0.9, use_dynamic_gate=0, data='ETTh1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=336, fc_dropout=0.2, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=128, n_heads=4, e_layers=2, d_layers=1, d_ff=512, moving_avg=25, factor=1, distil=True, dropout=0.5, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=10, learning_rate=0.0001, des='Exp', loss='mse', lradj='type3', pct_start=0.3, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTh1,336,M,720,mse,0.43180057,0.45613456,0.65711534,9.950481,40861.707,2026-01-12-18:58:47,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=6, tau=1.0, alpha=0.9, use_dynamic_gate=0, data='ETTh1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=720, fc_dropout=0.2, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=128, n_heads=4, e_layers=2, d_layers=1, d_ff=512, moving_avg=25, factor=1, distil=True, dropout=0.5, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=10, learning_rate=0.0001, des='Exp', loss='mse', lradj='type3', pct_start=0.3, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTh2,336,M,96,mse,0.27210337,0.33365962,0.5216353,1.4018184,352.24863,2026-01-12-19:00:51,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=8, tau=10.0, alpha=0.95, use_dynamic_gate=0, data='ETTh2', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh2.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=96, fc_dropout=0.2, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=32, n_heads=8, e_layers=2, d_layers=1, d_ff=64, moving_avg=25, factor=1, distil=True, dropout=0.5, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=10, learning_rate=0.0003, des='Exp', loss='mse', lradj='type3', pct_start=0.3, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTh2,336,M,192,mse,0.3340361,0.3766734,0.5779586,1.495078,330.0724,2026-01-12-19:04:49,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=8, tau=10.0, alpha=0.95, use_dynamic_gate=0, data='ETTh2', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh2.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=192, fc_dropout=0.2, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=32, n_heads=8, e_layers=2, d_layers=1, d_ff=64, moving_avg=25, factor=1, distil=True, dropout=0.5, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=10, learning_rate=0.0003, des='Exp', loss='mse', lradj='type3', pct_start=0.3, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTh2,336,M,336,mse,0.32428443,0.38172746,0.5694598,1.6909652,435.5471,2026-01-12-19:06:50,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=8, tau=10.0, alpha=0.95, use_dynamic_gate=0, data='ETTh2', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh2.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=336, fc_dropout=0.2, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=32, n_heads=8, e_layers=2, d_layers=1, d_ff=64, moving_avg=25, factor=1, distil=True, dropout=0.5, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=10, learning_rate=0.0003, des='Exp', loss='mse', lradj='type3', pct_start=0.3, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTh2,336,M,720,mse,0.37497303,0.419424,0.6123504,2.0364757,627.07666,2026-01-12-19:08:31,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=8, tau=10.0, alpha=0.95, use_dynamic_gate=0, data='ETTh2', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTh2.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=720, fc_dropout=0.2, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=32, n_heads=8, e_layers=2, d_layers=1, d_ff=64, moving_avg=25, factor=1, distil=True, dropout=0.5, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=10, learning_rate=0.0003, des='Exp', loss='mse', lradj='type3', pct_start=0.3, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTm1,336,M,96,mse,0.29504433,0.34530476,0.5431798,2.1352296,340.73975,2026-01-12-19:23:04,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=1, tau=1.0, alpha=0.95, use_dynamic_gate=0, data='ETTm1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTm1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=96, fc_dropout=0.5, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=256, n_heads=32, e_layers=4, d_layers=1, d_ff=256, moving_avg=25, factor=1, distil=True, dropout=0.4, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=20, learning_rate=0.0003, des='Exp', loss='mse', lradj='TST', pct_start=0.4, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
PatchTST,ETTm1,336,M,192,mse,0.32944894,0.36774513,0.5739764,2.273443,379.43246,2026-01-12-19:38:32,"Namespace(random_seed=2021, is_training=1, model_id='PatchTST', model='PatchTST', top_m=1, tau=1.0, alpha=0.95, use_dynamic_gate=0, data='ETTm1', root_path='/home/lc1526469/time_series/ICML/KUP-BI/dataset_336/ETT-small', data_path='ETTm1.csv', features='M', target='OT', freq='h', checkpoints='./checkpoints/', seq_len=336, label_len=48, pred_len=192, fc_dropout=0.5, head_dropout=0.0, patch_len=16, stride=8, padding_patch='end', revin=1, affine=0, subtract_last=0, decomposition=0, kernel_size=25, individual=0, attn_dropout=0.0, embed_type=0, enc_in=7, dec_in=7, c_out=7, d_model=256, n_heads=32, e_layers=4, d_layers=1, d_ff=256, moving_avg=25, factor=1, distil=True, dropout=0.4, embed='timeF', activation='gelu', output_attention=False, do_predict=False, num_workers=10, itr=1, train_epochs=100, batch_size=128, patience=20, learning_rate=0.0003, des='Exp', loss='mse', lradj='TST', pct_start=0.4, use_amp=False, use_gpu=True, gpu=0, use_multi_gpu=False, devices='0,1,2', test_flop=False)"
